district,librarian_fte,year,librarians_per_school,students_per_librarian,teachers_per_librarian,teacher_fte
Goldendale School District (WA),0.17,2023-24,0.03,17306.0,724.0,123.0
Goldendale School District (WA),0.17,2024-25,0.03,17724.0,707.0,120.13
Grand Coulee Dam School District (WA),0.0,2015-16,0.0,,,41.69
Grand Coulee Dam School District (WA),0.0,2016-17,0.0,,,43.88
Grand Coulee Dam School District (WA),0.0,2017-18,0.0,,,44.8
Grand Coulee Dam School District (WA),0.0,2018-19,0.0,,,44.51
Grand Coulee Dam School District (WA),0.0,2019-20,0.0,,,44.64
Grand Coulee Dam School District (WA),0.0,2020-21,0.0,,,40.02
Grand Coulee Dam School District (WA),0.0,2021-22,0.0,,,45.32
Grand Coulee Dam School District (WA),0.0,2022-23,0.0,,,45.0
Grand Coulee Dam School District (WA),0.0,2023-24,,,,45.59
Grand Coulee Dam School District (WA),0.0,2024-25,,,,47.25
Grandview School District (WA),4.0,2015-16,0.5,927.0,43.0,172.98
Grandview School District (WA),4.0,2016-17,0.5,933.0,46.0,184.07
Grandview School District (WA),4.0,2017-18,0.57,934.0,47.0,188.02
Grandview School District (WA),4.0,2018-19,0.57,935.0,48.0,190.04
Grandview School District (WA),4.0,2019-20,0.57,939.0,49.0,194.55
Grandview School District (WA),4.0,2020-21,0.57,909.0,48.0,192.28
Grandview School District (WA),5.0,2021-22,0.71,732.0,39.0,193.4
Grandview School District (WA),5.0,2022-23,0.71,724.0,40.0,202.0
Grandview School District (WA),5.0,2023-24,0.71,727.0,40.0,202.11
Grandview School District (WA),4.72,2024-25,0.67,759.0,40.0,187.28
Granger School District (WA),1.0,2015-16,0.33,1521.0,80.0,80.43
Granger School District (WA),1.0,2016-17,0.33,1517.0,82.0,81.96
Granger School District (WA),1.0,2017-18,0.33,1484.0,82.0,82.31
Granger School District (WA),1.0,2018-19,0.33,1558.0,83.0,83.36
Granger School District (WA),1.0,2019-20,0.33,1580.0,84.0,84.1
Granger School District (WA),1.0,2020-21,0.33,1449.0,88.0,88.48
Granger School District (WA),1.0,2021-22,0.33,1488.0,84.0,83.62
Granger School District (WA),1.0,2022-23,0.33,1501.0,86.0,86.0
Granger School District (WA),1.0,2023-24,0.33,1405.0,89.0,88.94
Granger School District (WA),1.0,2024-25,0.33,1438.0,81.0,81.4
Granite Falls School District (WA),1.0,2015-16,0.17,2061.0,109.0,108.7
Granite Falls School District (WA),1.0,2016-17,0.17,2058.0,110.0,109.53
Granite Falls School District (WA),1.0,2017-18,0.17,2033.0,116.0,115.97
Granite Falls School District (WA),1.0,2018-19,0.17,2102.0,107.0,107.19
Granite Falls School District (WA),0.0,2019-20,0.0,,,112.44
Granite Falls School District (WA),0.0,2020-21,0.0,,,114.87
Granite Falls School District (WA),0.0,2021-22,0.0,,,125.83
Granite Falls School District (WA),0.0,2022-23,0.0,,,137.0
Granite Falls School District (WA),0.0,2023-24,,,,121.34
Granite Falls School District (WA),0.0,2024-25,,,,128.94
Grapeview School District (WA),0.0,2015-16,0.0,,,12.01
Grapeview School District (WA),0.0,2016-17,0.0,,,13.88
Grapeview School District (WA),0.0,2017-18,0.0,,,12.01
Grapeview School District (WA),0.0,2018-19,0.0,,,13.04
Grapeview School District (WA),0.0,2019-20,0.0,,,14.07
Grapeview School District (WA),0.0,2020-21,0.0,,,14.09
Grapeview School District (WA),0.0,2021-22,0.0,,,17.36
Grapeview School District (WA),0.0,2022-23,0.0,,,18.0
Grapeview School District (WA),0.0,2023-24,,,,14.0
Grapeview School District (WA),0.0,2024-25,,,,14.78
Great Northern School District (WA),0.0,2015-16,0.0,,,3.5
Great Northern School District (WA),0.0,2016-17,0.0,,,1.5
Great Northern School District (WA),0.0,2017-18,0.0,,,1.5
Great Northern School District (WA),0.0,2018-19,0.0,,,1.5
Great Northern School District (WA),0.0,2019-20,0.0,,,3.97
Great Northern School District (WA),0.0,2020-21,0.0,,,3.77
Great Northern School District (WA),0.0,2021-22,0.0,,,3.93
Great Northern School District (WA),0.0,2022-23,0.0,,,4.0
Great Northern School District (WA),0.0,2023-24,,,,3.91
Great Northern School District (WA),0.0,2024-25,,,,3.56
Green Mountain School District (WA),0.0,2015-16,0.0,,,9.73
Green Mountain School District (WA),0.0,2016-17,0.0,,,9.72
Green Mountain School District (WA),0.0,2017-18,0.0,,,8.67
Green Mountain School District (WA),0.0,2018-19,0.0,,,8.79
Green Mountain School District (WA),0.73,2019-20,0.73,218.0,14.0,10.41
Green Mountain School District (WA),0.0,2020-21,0.0,,,10.91
Green Mountain School District (WA),0.0,2021-22,0.0,,,10.03
Green Mountain School District (WA),0.0,2022-23,0.0,,,11.0
Green Mountain School District (WA),0.0,2023-24,,,,10.96
Green Mountain School District (WA),0.0,2024-25,,,,10.96
Griffin School District (WA),1.0,2015-16,1.0,663.0,33.0,32.65
Griffin School District (WA),1.0,2016-17,1.0,647.0,34.0,34.16
Griffin School District (WA),1.01,2017-18,1.01,651.0,34.0,34.74
Griffin School District (WA),0.57,2018-19,0.57,1132.0,62.0,35.4
Griffin School District (WA),0.5,2019-20,0.5,1288.0,72.0,35.79
Griffin School District (WA),0.5,2020-21,0.5,1232.0,69.0,34.35
Griffin School District (WA),0.96,2021-22,0.96,648.0,38.0,36.0
Griffin School District (WA),0.0,2022-23,0.0,,,34.0
Griffin School District (WA),0.0,2023-24,,,,35.68
Griffin School District (WA),0.96,2024-25,0.96,609.0,35.0,33.12
Harrington School District (WA),0.0,2015-16,0.0,,,12.43
Harrington School District (WA),0.0,2016-17,0.0,,,12.4
Harrington School District (WA),0.0,2017-18,0.0,,,12.58
Harrington School District (WA),0.0,2018-19,0.0,,,12.86
Harrington School District (WA),0.0,2019-20,0.0,,,13.9
Harrington School District (WA),0.0,2020-21,0.0,,,13.87
Harrington School District (WA),0.0,2021-22,0.0,,,13.51
Harrington School District (WA),0.0,2022-23,0.0,,,14.0
Harrington School District (WA),0.0,2023-24,,,,14.26
Harrington School District (WA),0.0,2024-25,,,,14.0
Highland School District (WA),0.0,2015-16,0.0,,,70.34
Highland School District (WA),0.0,2016-17,0.0,,,73.4
Highland School District (WA),0.0,2017-18,0.0,,,71.03
Highland School District (WA),0.0,2018-19,0.0,,,63.66
Highland School District (WA),0.0,2019-20,0.0,,,65.68
Highland School District (WA),0.0,2020-21,0.0,,,61.47
Highland School District (WA),0.0,2021-22,0.0,,,60.56
Highland School District (WA),0.0,2022-23,0.0,,,62.0
Highland School District (WA),0.0,2023-24,,,,61.8
Highland School District (WA),0.0,2024-25,,,,55.85
Highline School District (WA),23.2,2015-16,0.54,842.0,47.0,1090.07
Highline School District (WA),24.19,2016-17,0.56,814.0,43.0,1046.55
Highline School District (WA),23.61,2017-18,0.59,829.0,44.0,1043.57
Highline School District (WA),25.29,2018-19,0.63,760.0,40.0,1011.21
Highline School District (WA),16.95,2019-20,0.41,1129.0,60.0,1014.19
Highline School District (WA),17.65,2020-21,0.42,1056.0,58.0,1016.12
Highline School District (WA),17.56,2021-22,0.41,1053.0,54.0,950.95
Highline School District (WA),16.67,2022-23,0.39,1083.0,61.0,1010.0
Highline School District (WA),16.69,2023-24,0.39,1068.0,62.0,1029.05
Highline School District (WA),16.81,2024-25,0.39,1075.0,60.0,1011.41
Hockinson School District (WA),1.0,2015-16,0.33,1874.0,96.0,96.0
Hockinson School District (WA),1.0,2016-17,0.33,1877.0,96.0,95.72
Hockinson School District (WA),1.4,2017-18,0.47,1394.0,73.0,102.26
Hockinson School District (WA),1.4,2018-19,0.47,1414.0,73.0,102.38
Hockinson School District (WA),1.4,2019-20,0.47,1437.0,74.0,103.86
Hockinson School District (WA),0.6,2020-21,0.2,3068.0,176.0,105.6
Hockinson School District (WA),0.0,2021-22,0.0,,,95.23
Hockinson School District (WA),0.0,2022-23,0.0,,,105.0
Hockinson School District (WA),0.0,2023-24,,,,108.4
Hockinson School District (WA),0.0,2024-25,,,,105.01
Hood Canal School District (WA),0.0,2015-16,0.0,,,20.79
Hood Canal School District (WA),0.0,2016-17,0.0,,,24.01
Hood Canal School District (WA),0.0,2017-18,0.0,,,25.0
Hood Canal School District (WA),1.0,2018-19,0.5,303.0,24.0,24.03
Hood Canal School District (WA),1.0,2019-20,0.5,335.0,25.0,25.25
Hood Canal School District (WA),1.0,2020-21,1.0,313.0,26.0,25.98
Hood Canal School District (WA),1.0,2021-22,1.0,314.0,21.0,20.93
Hood Canal School District (WA),0.22,2022-23,0.22,1573.0,105.0,23.0
Hood Canal School District (WA),1.0,2023-24,1.0,334.0,24.0,24.0
Hood Canal School District (WA),1.0,2024-25,1.0,337.0,24.0,24.2
Hoquiam School District (WA),0.0,2015-16,0.0,,,92.39
Hoquiam School District (WA),0.0,2016-17,0.0,,,95.07
Hoquiam School District (WA),0.0,2017-18,0.0,,,94.71
Hoquiam School District (WA),0.0,2018-19,0.0,,,91.75
Hoquiam School District (WA),0.0,2019-20,0.0,,,90.92
Hoquiam School District (WA),0.0,2020-21,0.0,,,86.88
Hoquiam School District (WA),0.0,2021-22,0.0,,,95.44
Hoquiam School District (WA),0.0,2022-23,0.0,,,97.0
Hoquiam School District (WA),0.0,2023-24,,,,98.07
Hoquiam School District (WA),0.0,2024-25,,,,88.55
Inchelium School District (WA),0.0,2015-16,0.0,,,19.0
Inchelium School District (WA),0.0,2016-17,0.0,,,18.87
Inchelium School District (WA),0.0,2017-18,0.0,,,19.81
Inchelium School District (WA),0.0,2018-19,0.0,,,18.99
Inchelium School District (WA),0.0,2019-20,0.0,,,18.0
Inchelium School District (WA),0.0,2020-21,0.0,,,20.02
Inchelium School District (WA),0.0,2021-22,0.0,,,18.01
Inchelium School District (WA),0.0,2022-23,0.0,,,18.0
Inchelium School District (WA),0.0,2023-24,,,,19.66
Inchelium School District (WA),0.0,2024-25,,,,18.61
Index School District (WA),0.0,2015-16,0.0,,,3.46
Index School District (WA),0.0,2016-17,0.0,,,3.55
Index School District (WA),0.0,2017-18,0.0,,,3.51
Index School District (WA),0.0,2018-19,0.0,,,3.28
Index School District (WA),0.0,2019-20,0.0,,,3.35
Index School District (WA),0.0,2020-21,0.0,,,2.26
Index School District (WA),0.0,2021-22,0.0,,,2.5
Index School District (WA),0.0,2022-23,0.0,,,2.0
Index School District (WA),0.0,2023-24,,,,2.81
Index School District (WA),0.0,2024-25,,,,3.01
Issaquah School District (WA),24.7,2015-16,0.91,808.0,39.0,961.03
Issaquah School District (WA),24.9,2016-17,0.92,825.0,40.0,995.73
Issaquah School District (WA),25.2,2017-18,0.93,831.0,41.0,1032.56
Issaquah School District (WA),25.6,2018-19,0.95,816.0,43.0,1091.8
Issaquah School District (WA),19.84,2019-20,0.71,1077.0,56.0,1119.41
Issaquah School District (WA),19.9,2020-21,0.71,1013.0,56.0,1120.44
Issaquah School District (WA),20.77,2021-22,0.69,943.0,48.0,1005.89
Issaquah School District (WA),21.91,2022-23,0.73,891.0,47.0,1028.0
Issaquah School District (WA),22.0,2023-24,0.73,884.0,47.0,1043.48
Issaquah School District (WA),21.41,2024-25,0.71,892.0,49.0,1041.64
Kahlotus School District (WA),0.0,2015-16,0.0,,,9.98
Kahlotus School District (WA),0.0,2016-17,0.0,,,9.51
Kahlotus School District (WA),0.0,2017-18,0.0,,,9.51
Kahlotus School District (WA),0.0,2018-19,0.0,,,9.78
Kahlotus School District (WA),0.0,2019-20,0.0,,,10.33
Kahlotus School District (WA),0.0,2020-21,0.0,,,9.67
Kahlotus School District (WA),0.0,2021-22,0.0,,,8.72
Kahlotus School District (WA),0.0,2022-23,0.0,,,10.0
Kahlotus School District (WA),0.0,2023-24,,,,9.95
Kahlotus School District (WA),0.0,2024-25,,,,10.95
Kalama School District (WA),0.0,2015-16,-0.5,-925.0,-47.0,46.65
Kalama School District (WA),0.6,2016-17,0.3,1617.0,80.0,48.02
Kalama School District (WA),0.4,2017-18,0.2,2590.0,126.0,50.29
Kalama School District (WA),0.0,2018-19,0.0,,,53.42
Kalama School District (WA),0.0,2019-20,0.0,,,54.09
Kalama School District (WA),0.0,2020-21,0.0,,,53.96
Kalama School District (WA),0.0,2021-22,0.0,,,55.5
Kalama School District (WA),0.0,2022-23,0.0,,,74.0
Kalama School District (WA),0.0,2023-24,,,,64.14
Kalama School District (WA),0.0,2024-25,,,,88.14
Keller School District (WA),0.0,2015-16,0.0,,,3.0
Keller School District (WA),0.0,2016-17,0.0,,,3.01
Keller School District (WA),0.0,2017-18,0.0,,,3.01
Keller School District (WA),0.0,2018-19,0.0,,,3.01
Keller School District (WA),0.0,2019-20,0.0,,,3.02
Keller School District (WA),0.0,2020-21,0.0,,,3.01
Keller School District (WA),0.0,2021-22,0.0,,,3.0
Keller School District (WA),0.0,2022-23,0.0,,,3.0
Keller School District (WA),0.0,2023-24,,,,3.01
Keller School District (WA),0.0,2024-25,,,,3.01
Kelso School District (WA),8.1,2015-16,0.62,620.0,32.0,259.73
Kelso School District (WA),8.21,2016-17,0.63,607.0,33.0,267.58
Kelso School District (WA),7.91,2017-18,0.61,652.0,35.0,275.28
Kelso School District (WA),7.73,2018-19,0.55,660.0,38.0,292.49
Kelso School District (WA),5.64,2019-20,0.4,906.0,49.0,276.12
Kelso School District (WA),4.83,2020-21,0.35,976.0,55.0,267.8
Kelso School District (WA),3.33,2021-22,0.26,1439.0,78.0,259.18
Kelso School District (WA),3.33,2022-23,0.26,1483.0,85.0,284.0
Kelso School District (WA),3.33,2023-24,0.26,1486.0,90.0,299.54
Kelso School District (WA),0.0,2024-25,,,,275.38
Kennewick School District (WA),23.4,2015-16,0.84,760.0,38.0,893.77
Kennewick School District (WA),25.4,2016-17,0.85,715.0,38.0,963.47
Kennewick School District (WA),25.55,2017-18,0.85,726.0,38.0,979.45
Kennewick School District (WA),27.4,2018-19,0.86,715.0,38.0,1042.45
Kennewick School District (WA),27.4,2019-20,0.86,700.0,38.0,1037.61
Kennewick School District (WA),27.4,2020-21,0.86,671.0,38.0,1048.09
Kennewick School District (WA),24.0,2021-22,0.75,780.0,40.0,956.02
Kennewick School District (WA),25.09,2022-23,0.76,770.0,42.0,1047.0
Kennewick School District (WA),8.0,2023-24,0.24,2351.0,134.0,1071.82
Kennewick School District (WA),8.0,2024-25,0.24,2353.0,131.0,1047.97
Kent School District (WA),38.0,2015-16,0.88,730.0,38.0,1459.13
Kent School District (WA),38.23,2016-17,0.87,728.0,37.0,1433.3
Kent School District (WA),39.58,2017-18,0.9,697.0,37.0,1448.16
Kent School District (WA),40.58,2018-19,0.92,673.0,35.0,1414.04
Kent School District (WA),23.67,2019-20,0.54,1158.0,59.0,1396.13
Kent School District (WA),24.18,2020-21,0.55,1064.0,60.0,1444.29
Kent School District (WA),24.86,2021-22,0.57,1002.0,57.0,1413.96
Kent School District (WA),25.04,2022-23,0.56,1022.0,61.0,1517.0
Kent School District (WA),23.68,2023-24,0.51,1085.0,64.0,1511.19
Kent School District (WA),24.26,2024-25,0.53,1045.0,58.0,1411.3
Kettle Falls School District (WA),0.0,2015-16,0.0,,,47.5
Kettle Falls School District (WA),0.0,2016-17,0.0,,,48.7
Kettle Falls School District (WA),0.0,2017-18,0.0,,,51.57
Kettle Falls School District (WA),0.0,2018-19,0.0,,,57.28
Kettle Falls School District (WA),0.0,2019-20,0.0,,,60.28
Kettle Falls School District (WA),0.0,2020-21,0.0,,,56.58
Kettle Falls School District (WA),0.0,2021-22,0.0,,,56.33
Kettle Falls School District (WA),0.0,2022-23,0.0,,,58.0
Kettle Falls School District (WA),0.0,2023-24,,,,59.4
Kettle Falls School District (WA),0.0,2024-25,,,,61.67
Kiona-Benton City School District (WA),1.0,2015-16,0.25,1481.0,86.0,85.61
Kiona-Benton City School District (WA),1.0,2016-17,0.25,1446.0,82.0,82.39
Kiona-Benton City School District (WA),1.0,2017-18,0.25,1474.0,84.0,83.75
Kiona-Benton City School District (WA),1.0,2018-19,0.25,1377.0,81.0,80.76
Kiona-Benton City School District (WA),0.4,2019-20,0.1,3570.0,201.0,80.22
Kiona-Benton City School District (WA),0.4,2020-21,0.1,3463.0,196.0,78.28
Kiona-Benton City School District (WA),0.4,2021-22,0.1,3543.0,196.0,78.2
Kiona-Benton City School District (WA),0.4,2022-23,0.13,3430.0,215.0,86.0
Kiona-Benton City School District (WA),0.0,2023-24,,,,82.13
Kiona-Benton City School District (WA),0.0,2024-25,,,,83.42
Kittitas School District (WA),1.0,2015-16,0.25,661.0,37.0,36.5
Kittitas School District (WA),0.0,2016-17,0.0,,,38.5
Kittitas School District (WA),0.0,2017-18,0.0,,,38.9
Kittitas School District (WA),0.0,2018-19,0.0,,,41.0
Kittitas School District (WA),0.0,2019-20,0.0,,,40.99
Kittitas School District (WA),0.0,2020-21,0.0,,,39.31
Kittitas School District (WA),0.0,2021-22,0.0,,,40.38
Kittitas School District (WA),0.0,2022-23,0.0,,,36.0
Kittitas School District (WA),0.0,2023-24,,,,35.95
Kittitas School District (WA),0.0,2024-25,,,,36.46
Klickitat School District (WA),0.0,2015-16,0.0,,,8.06
Klickitat School District (WA),0.0,2016-17,0.0,,,8.29
Klickitat School District (WA),0.0,2017-18,0.0,,,8.62
Klickitat School District (WA),0.0,2018-19,0.0,,,8.33
Klickitat School District (WA),0.0,2019-20,0.0,,,8.26
Klickitat School District (WA),0.0,2020-21,0.0,,,7.64
Klickitat School District (WA),0.0,2021-22,0.0,,,8.08
Klickitat School District (WA),0.0,2022-23,0.0,,,7.0
Klickitat School District (WA),0.0,2023-24,,,,8.5
Klickitat School District (WA),0.0,2024-25,,,,5.62
La Center School District (WA),1.0,2015-16,0.25,1647.0,87.0,86.82
La Center School District (WA),1.4,2016-17,0.35,1198.0,62.0,86.44
La Center School District (WA),1.49,2017-18,0.37,1151.0,61.0,90.5
La Center School District (WA),1.49,2018-19,0.37,1144.0,59.0,87.84
La Center School District (WA),0.0,2019-20,0.0,,,96.4
La Center School District (WA),0.83,2020-21,0.21,1898.0,110.0,91.49
La Center School District (WA),0.63,2021-22,0.16,2703.0,152.0,95.46
La Center School District (WA),0.55,2022-23,0.14,3216.0,173.0,95.0
La Center School District (WA),0.67,2023-24,0.17,2725.0,150.0,100.62
La Center School District (WA),0.67,2024-25,0.17,2721.0,149.0,99.56
La Conner School District (WA),0.64,2015-16,0.21,980.0,70.0,45.04
La Conner School District (WA),0.6,2016-17,0.2,960.0,68.0,40.56
La Conner School District (WA),0.6,2017-18,0.2,1010.0,68.0,41.0
La Conner School District (WA),0.59,2018-19,0.2,1120.0,75.0,44.1
La Conner School District (WA),0.59,2019-20,0.2,1124.0,75.0,44.1
La Conner School District (WA),0.78,2020-21,0.26,815.0,50.0,38.87
La Conner School District (WA),0.91,2021-22,0.3,619.0,48.0,44.06
La Conner School District (WA),0.0,2022-23,0.0,,,40.0
La Conner School District (WA),0.0,2023-24,,,,34.19
La Conner School District (WA),0.0,2024-25,,,,35.13
Lacrosse School District (WA),0.0,2015-16,0.0,,,12.39
Lacrosse School District (WA),0.0,2016-17,0.0,,,12.5
Lacrosse School District (WA),0.0,2017-18,0.0,,,11.38
Lacrosse School District (WA),0.0,2018-19,0.0,,,11.62
Lacrosse School District (WA),0.0,2019-20,0.0,,,11.85
Lacrosse School District (WA),0.0,2020-21,0.0,,,12.42
Lacrosse School District (WA),0.0,2021-22,0.0,,,13.59
Lacrosse School District (WA),0.0,2022-23,0.0,,,12.0
Lacrosse School District (WA),0.0,2023-24,,,,14.16
Lacrosse School District (WA),0.0,2024-25,,,,13.22
Lake Chelan School District (WA),1.0,2015-16,0.17,1440.0,86.0,85.57
Lake Chelan School District (WA),1.0,2016-17,0.17,1442.0,89.0,88.52
Lake Chelan School District (WA),1.0,2017-18,0.17,1439.0,89.0,88.55
Lake Chelan School District (WA),0.0,2018-19,0.0,,,86.42
Lake Chelan School District (WA),0.0,2019-20,0.0,,,88.13
Lake Chelan School District (WA),0.0,2020-21,0.0,,,81.11
Lake Chelan School District (WA),0.0,2021-22,0.0,,,85.2
Lake Chelan School District (WA),0.0,2022-23,0.0,,,84.0
Lake Chelan School District (WA),0.0,2023-24,,,,85.6
Lake Chelan School District (WA),0.0,2024-25,,,,78.91
Lake Quinault School District (WA),0.0,2015-16,0.0,,,13.0
Lake Quinault School District (WA),0.0,2016-17,0.0,,,13.87
Lake Quinault School District (WA),0.0,2017-18,0.0,,,15.83
Lake Quinault School District (WA),0.0,2018-19,0.0,,,14.85
Lake Quinault School District (WA),0.0,2019-20,0.0,,,14.72
Lake Quinault School District (WA),0.0,2020-21,0.0,,,13.98
Lake Quinault School District (WA),0.0,2021-22,0.0,,,13.34
Lake Quinault School District (WA),0.0,2022-23,0.0,,,15.0
Lake Quinault School District (WA),0.0,2023-24,,,,15.17
Lake Quinault School District (WA),0.0,2024-25,,,,15.4
Lake Stevens School District (WA),6.2,2015-16,0.52,1384.0,65.0,400.56
Lake Stevens School District (WA),6.22,2016-17,0.44,1422.0,67.0,415.55
Lake Stevens School District (WA),6.0,2017-18,0.43,1473.0,73.0,435.8
Lake Stevens School District (WA),5.81,2018-19,0.39,1582.0,80.0,464.24
Lake Stevens School District (WA),5.44,2019-20,0.36,1766.0,87.0,472.29
Lake Stevens School District (WA),5.68,2020-21,0.38,1598.0,85.0,485.58
Lake Stevens School District (WA),5.68,2021-22,0.38,1682.0,78.0,444.95
Lake Stevens School District (WA),5.68,2022-23,0.38,1705.0,89.0,504.0
Lake Stevens School District (WA),5.68,2023-24,0.36,1723.0,89.0,502.92
Lake Stevens School District (WA),3.03,2024-25,0.19,3339.0,173.0,524.48
Lake Washington School District (WA),38.8,2015-16,0.73,719.0,38.0,1461.61
Lake Washington School District (WA),38.96,2016-17,0.74,749.0,40.0,1542.28
Lake Washington School District (WA),39.1,2017-18,0.74,760.0,41.0,1594.03
Lake Washington School District (WA),41.0,2018-19,0.75,748.0,40.0,1659.9
Lake Washington School District (WA),27.89,2019-20,0.5,1142.0,62.0,1728.32
Lake Washington School District (WA),27.78,2020-21,0.49,1115.0,63.0,1760.29
Lake Washington School District (WA),27.5,2021-22,0.47,1117.0,61.0,1669.9
Lake Washington School District (WA),27.5,2022-23,0.47,1127.0,64.0,1758.0
Lake Washington School District (WA),27.5,2023-24,0.48,1123.0,62.0,1691.39
Lake Washington School District (WA),13.0,2024-25,0.23,2384.0,133.0,1729.88
Lakewood School District (WA),3.8,2015-16,0.63,610.0,29.0,110.59
Lakewood School District (WA),4.0,2016-17,0.67,603.0,27.0,108.85
Lakewood School District (WA),4.0,2017-18,0.67,616.0,30.0,118.58
Lakewood School District (WA),4.0,2018-19,0.67,634.0,31.0,123.37
Lakewood School District (WA),1.0,2019-20,0.2,2614.0,136.0,136.26
Lakewood School District (WA),1.0,2020-21,0.2,2495.0,134.0,133.84
Lakewood School District (WA),1.0,2021-22,0.2,2644.0,134.0,134.35
Lakewood School District (WA),1.0,2022-23,0.2,2627.0,140.0,140.0
Lakewood School District (WA),1.0,2023-24,0.2,2671.0,153.0,152.93
Lakewood School District (WA),1.0,2024-25,0.2,2713.0,148.0,148.46
Lamont School District (WA),0.0,2015-16,0.0,,,3.76
Lamont School District (WA),0.0,2016-17,0.0,,,3.58
Lamont School District (WA),0.0,2017-18,0.0,,,3.51
Lamont School District (WA),0.0,2018-19,0.0,,,3.51
Lamont School District (WA),0.0,2019-20,0.0,,,3.53
Lamont School District (WA),0.0,2020-21,0.0,,,3.34
Lamont School District (WA),0.0,2021-22,0.0,,,5.0
Lamont School District (WA),0.0,2022-23,0.0,,,4.0
Lamont School District (WA),0.0,2023-24,,,,4.0
Lamont School District (WA),0.0,2024-25,,,,3.55
Liberty School District (WA),0.0,2015-16,0.0,,,27.16
Liberty School District (WA),0.0,2016-17,0.0,,,28.34
Liberty School District (WA),0.0,2017-18,0.0,,,30.2
Liberty School District (WA),0.0,2018-19,0.0,,,30.51
Liberty School District (WA),0.0,2019-20,0.0,,,32.17
Liberty School District (WA),0.0,2020-21,0.0,,,33.19
Liberty School District (WA),0.0,2021-22,0.0,,,35.19
Liberty School District (WA),0.0,2022-23,0.0,,,35.0
Liberty School District (WA),0.0,2023-24,,,,37.03
Liberty School District (WA),0.0,2024-25,,,,35.67
Lind School District (WA),0.0,2015-16,0.0,,,16.99
Lind School District (WA),0.0,2016-17,0.0,,,16.61
Lind School District (WA),0.0,2017-18,0.0,,,15.79
Lind School District (WA),0.0,2018-19,0.0,,,17.01
Lind School District (WA),0.0,2019-20,0.0,,,17.02
Lind School District (WA),0.0,2020-21,0.0,,,17.61
Lind School District (WA),0.0,2021-22,0.0,,,17.99
Lind School District (WA),0.0,2022-23,0.0,,,18.0
Lind School District (WA),0.0,2023-24,,,,18.0
Lind School District (WA),0.0,2024-25,,,,17.02
Longview School District (WA),8.3,2015-16,0.49,828.0,44.0,366.51
Longview School District (WA),8.42,2016-17,0.5,811.0,44.0,371.9
Longview School District (WA),8.04,2017-18,0.47,840.0,46.0,373.77
Longview School District (WA),3.51,2018-19,0.21,1922.0,106.0,372.09
Longview School District (WA),3.44,2019-20,0.2,1951.0,109.0,375.46
Longview School District (WA),3.5,2020-21,0.19,1808.0,106.0,372.31
Longview School District (WA),3.5,2021-22,0.19,1798.0,98.0,343.65
Longview School District (WA),3.5,2022-23,0.19,1803.0,109.0,381.0
Longview School District (WA),2.5,2023-24,0.15,2551.0,145.0,361.87
Longview School District (WA),3.5,2024-25,0.21,1823.0,103.0,358.84
Loon Lake School District (WA),0.0,2015-16,0.0,,,9.5
Loon Lake School District (WA),0.0,2016-17,0.0,,,9.77
Loon Lake School District (WA),0.0,2017-18,0.0,,,9.41
Loon Lake School District (WA),0.0,2018-19,0.0,,,11.1
Loon Lake School District (WA),0.0,2019-20,0.0,,,10.58
Loon Lake School District (WA),0.0,2020-21,0.0,,,12.04
Loon Lake School District (WA),0.0,2021-22,0.0,,,13.08
Loon Lake School District (WA),0.0,2022-23,0.0,,,12.0
Loon Lake School District (WA),0.0,2023-24,,,,12.85
Loon Lake School District (WA),0.0,2024-25,,,,13.4
Lopez School District (WA),0.0,2015-16,0.0,,,18.91
Lopez School District (WA),0.0,2016-17,0.0,,,19.17
Lopez School District (WA),0.0,2017-18,0.0,,,19.57
Lopez School District (WA),0.0,2018-19,0.0,,,19.6
Lopez School District (WA),0.0,2019-20,0.0,,,19.68
Lopez School District (WA),0.0,2020-21,0.0,,,17.4
Lopez School District (WA),0.0,2021-22,0.0,,,18.2
Lopez School District (WA),0.0,2022-23,0.0,,,14.0
Lopez School District (WA),0.0,2023-24,,,,21.59
Lopez School District (WA),0.0,2024-25,,,,19.17
Lyle School District (WA),0.0,2015-16,0.0,,,14.0
Lyle School District (WA),0.0,2016-17,0.0,,,15.0
Lyle School District (WA),0.0,2017-18,0.0,,,15.42
Lyle School District (WA),0.0,2018-19,0.0,,,18.99
Lyle School District (WA),0.0,2019-20,0.0,,,15.01
Lyle School District (WA),0.0,2020-21,0.0,,,15.67
Lyle School District (WA),0.0,2021-22,0.0,,,15.41
Lyle School District (WA),0.0,2022-23,0.0,,,16.0
Lyle School District (WA),0.0,2023-24,,,,18.0
Lyle School District (WA),0.0,2024-25,,,,16.0
Lynden School District (WA),0.0,2015-16,0.0,,,150.93
Lynden School District (WA),0.0,2016-17,0.0,,,166.31
Lynden School District (WA),0.0,2017-18,0.0,,,173.26
Lynden School District (WA),0.0,2018-19,0.0,,,176.25
Lynden School District (WA),0.0,2019-20,0.0,,,189.04
Lynden School District (WA),0.0,2020-21,0.0,,,192.07
Lynden School District (WA),0.0,2021-22,0.0,,,180.71
Lynden School District (WA),0.0,2022-23,0.0,,,189.0
Lynden School District (WA),0.0,2023-24,,,,185.78
Lynden School District (WA),0.0,2024-25,,,,185.83
Mabton School District (WA),1.0,2015-16,0.5,958.0,54.0,54.03
Mabton School District (WA),1.0,2016-17,0.33,909.0,54.0,53.98
