district,librarian_fte,year,librarians_per_school,students_per_librarian,teachers_per_librarian,teacher_fte
Carbonado School District (WA),0.0,2019-20,0.0,,,12.5
Carbonado School District (WA),0.0,2020-21,0.0,,,11.5
Carbonado School District (WA),0.0,2021-22,0.0,,,12.5
Carbonado School District (WA),0.0,2022-23,0.0,,,13.0
Carbonado School District (WA),0.0,2023-24,,,,12.52
Carbonado School District (WA),0.0,2024-25,,,,12.73
Cascade School District (WA),0.0,2015-16,0.0,,,78.02
Cascade School District (WA),0.0,2016-17,0.0,,,81.35
Cascade School District (WA),0.0,2017-18,0.0,,,76.01
Cascade School District (WA),0.0,2018-19,0.0,,,79.15
Cascade School District (WA),0.0,2019-20,0.0,,,80.5
Cascade School District (WA),0.0,2020-21,0.0,,,77.71
Cascade School District (WA),0.0,2021-22,0.0,,,83.17
Cascade School District (WA),0.0,2022-23,0.0,,,85.0
Cascade School District (WA),0.0,2023-24,,,,74.69
Cascade School District (WA),0.0,2024-25,,,,78.23
Cashmere School District (WA),2.68,2015-16,0.89,576.0,32.0,84.64
Cashmere School District (WA),2.24,2016-17,0.75,719.0,39.0,87.84
Cashmere School District (WA),2.47,2017-18,0.82,651.0,37.0,91.31
Cashmere School District (WA),1.95,2018-19,0.65,872.0,47.0,91.6
Cashmere School District (WA),1.5,2019-20,0.5,1117.0,63.0,95.03
Cashmere School District (WA),1.8,2020-21,0.6,903.0,53.0,94.97
Cashmere School District (WA),1.73,2021-22,0.58,938.0,53.0,92.26
Cashmere School District (WA),1.75,2022-23,0.58,903.0,58.0,101.0
Cashmere School District (WA),1.0,2023-24,0.33,1630.0,102.0,101.7
Cashmere School District (WA),1.0,2024-25,0.33,1677.0,97.0,97.45
Castle Rock School District (WA),0.0,2015-16,0.0,,,67.4
Castle Rock School District (WA),0.0,2016-17,0.0,,,69.9
Castle Rock School District (WA),0.0,2017-18,0.0,,,72.13
Castle Rock School District (WA),0.0,2018-19,0.0,,,74.52
Castle Rock School District (WA),0.0,2019-20,0.0,,,74.88
Castle Rock School District (WA),0.0,2020-21,0.0,,,69.98
Castle Rock School District (WA),0.0,2021-22,0.0,,,75.87
Castle Rock School District (WA),0.0,2022-23,0.0,,,86.0
Castle Rock School District (WA),0.0,2023-24,,,,90.04
Castle Rock School District (WA),0.0,2024-25,,,,80.81
Centerville School District (WA),0.0,2015-16,0.0,,,5.0
Centerville School District (WA),0.0,2016-17,0.0,,,5.0
