district,librarian_fte,year,librarians_per_school,students_per_librarian,teachers_per_librarian,teacher_fte,locale_code,locale_tier,ela_pct_met_grade4,ela_pct_met_grade8,ela_pct_foundational_grade4,ela_pct_foundational_grade8
Nine Mile Falls School District (WA),0.37,2016-17,0.07,3903.0,227.0,84.1,31.0,Mid-size,59.6,55.2,,
Nine Mile Falls School District (WA),0.37,2017-18,0.07,3862.0,228.0,84.21,31.0,Mid-size,47.7,55.6,,
Nine Mile Falls School District (WA),1.0,2018-19,0.2,1406.0,85.0,85.26,31.0,Mid-size,54.7,61.6,,
Nine Mile Falls School District (WA),0.0,2019-20,0.0,,,86.76,31.0,Mid-size,,,,
Nine Mile Falls School District (WA),0.0,2020-21,0.0,,,83.67,31.0,Mid-size,55.8,50.0,,
Nine Mile Falls School District (WA),0.0,2021-22,0.0,,,90.28,31.0,Mid-size,51.4,70.6,,
Nine Mile Falls School District (WA),0.0,2022-23,0.0,,,88.0,31.0,Mid-size,44.9,71.5,,
Nine Mile Falls School District (WA),0.0,2023-24,,,,88.21,41.0,Rural,51.9,62.9,81.7,84.8
Nine Mile Falls School District (WA),0.0,2024-25,,,,86.54,41.0,Rural,57.3,59.4,76.1,79.2
Nooksack Valley School District (WA),0.0,2015-16,0.0,,,94.02,41.0,Rural,60.2,69.4,,
Nooksack Valley School District (WA),0.0,2016-17,0.0,,,98.3,41.0,Rural,62.4,57.3,,
Nooksack Valley School District (WA),0.0,2017-18,0.0,,,110.11,41.0,Rural,75.2,63.6,,
Nooksack Valley School District (WA),0.0,2018-19,0.0,,,110.6,41.0,Rural,57.2,70.0,,
Nooksack Valley School District (WA),0.0,2019-20,0.0,,,118.71,41.0,Rural,,,,
Nooksack Valley School District (WA),0.0,2020-21,0.0,,,119.2,41.0,Rural,37.3,52.3,,
Nooksack Valley School District (WA),0.0,2021-22,0.0,,,109.81,41.0,Rural,41.5,45.9,,
Nooksack Valley School District (WA),0.0,2022-23,0.0,,,127.0,41.0,Rural,47.0,44.3,,
Nooksack Valley School District (WA),0.0,2023-24,,,,121.99,42.0,Distant Rural,46.1,47.7,66.5,75.8
Nooksack Valley School District (WA),0.0,2024-25,,,,117.22,42.0,Distant Rural,53.7,47.9,77.9,69.7
North Beach School District (WA),0.0,2015-16,0.0,,,38.94,41.0,Rural,58.3,44.2,,
North Beach School District (WA),0.0,2016-17,0.0,,,39.23,41.0,Rural,41.3,36.5,,
North Beach School District (WA),0.0,2017-18,0.0,,,37.04,41.0,Rural,56.0,19.6,,
North Beach School District (WA),0.0,2018-19,0.0,,,37.21,41.0,Rural,41.3,40.4,,
North Beach School District (WA),0.0,2019-20,0.0,,,46.04,41.0,Rural,,,,
North Beach School District (WA),0.0,2020-21,0.0,,,47.28,41.0,Rural,37.3,45.2,,
North Beach School District (WA),0.0,2021-22,0.0,,,49.76,41.0,Rural,23.7,42.6,,
North Beach School District (WA),0.0,2022-23,0.0,,,47.0,41.0,Rural,28.6,35.0,,
North Beach School District (WA),0.0,2023-24,,,,45.96,33.0,Mid-size,54.8,43.1,71.0,67.2
North Beach School District (WA),0.0,2024-25,,,,45.7,33.0,Mid-size,38.7,15.4,67.7,46.2
North Franklin School District (WA),2.5,2015-16,0.31,846.0,50.0,124.13,41.0,Rural,30.1,42.7,,
North Franklin School District (WA),2.5,2016-17,0.31,864.0,51.0,126.76,41.0,Rural,24.4,48.7,,
North Franklin School District (WA),2.5,2017-18,0.28,876.0,52.0,131.14,41.0,Rural,31.5,42.0,,
North Franklin School District (WA),2.5,2018-19,0.28,876.0,51.0,128.07,41.0,Rural,22.5,42.5,,
North Franklin School District (WA),2.5,2019-20,0.28,867.0,50.0,123.9,41.0,Rural,,,,
North Franklin School District (WA),2.5,2020-21,0.28,826.0,47.0,116.71,41.0,Rural,29.9,33.8,,
North Franklin School District (WA),2.5,2021-22,0.28,828.0,50.0,125.0,41.0,Rural,31.1,24.8,,
North Franklin School District (WA),2.5,2022-23,0.28,815.0,53.0,133.0,41.0,Rural,32.9,24.5,,
North Franklin School District (WA),2.5,2023-24,0.28,830.0,52.0,129.81,32.0,Mid-size,35.0,34.2,60.6,67.1
North Franklin School District (WA),2.5,2024-25,0.28,831.0,49.0,122.52,32.0,Mid-size,31.8,36.0,58.9,60.3
North Kitsap School District (WA),8.83,2015-16,0.68,694.0,36.0,319.91,22.0,Suburban,63.9,63.3,,
North Kitsap School District (WA),9.6,2016-17,0.74,621.0,34.0,325.52,22.0,Suburban,64.2,61.1,,
North Kitsap School District (WA),8.6,2017-18,0.66,697.0,36.0,308.13,22.0,Suburban,60.0,58.6,,
North Kitsap School District (WA),9.63,2018-19,0.69,623.0,33.0,313.06,22.0,Suburban,63.6,59.1,,
North Kitsap School District (WA),7.6,2019-20,0.54,799.0,40.0,305.08,22.0,Suburban,,,,
North Kitsap School District (WA),7.2,2020-21,0.51,759.0,40.0,290.33,22.0,Suburban,52.3,50.9,,
North Kitsap School District (WA),9.6,2021-22,0.69,569.0,31.0,300.07,22.0,Suburban,55.5,48.6,,
North Kitsap School District (WA),9.6,2022-23,0.69,564.0,33.0,316.0,22.0,Suburban,55.2,54.8,,
North Kitsap School District (WA),9.6,2023-24,0.69,559.0,30.0,286.57,22.0,Suburban,52.8,44.7,69.6,68.2
North Kitsap School District (WA),9.6,2024-25,0.69,555.0,30.0,285.67,22.0,Suburban,55.5,45.2,74.7,70.7
North Mason School District (WA),0.0,2015-16,0.0,,,120.8,41.0,Rural,45.4,61.3,,
North Mason School District (WA),0.0,2016-17,0.0,,,122.12,41.0,Rural,42.0,50.0,,
North Mason School District (WA),0.0,2017-18,0.0,,,125.54,41.0,Rural,28.1,49.7,,
North Mason School District (WA),0.0,2018-19,0.0,,,128.47,41.0,Rural,30.8,44.5,,
North Mason School District (WA),0.0,2019-20,0.0,,,136.5,41.0,Rural,,,,
North Mason School District (WA),0.0,2020-21,0.0,,,127.69,41.0,Rural,25.5,26.8,,
North Mason School District (WA),0.0,2021-22,0.0,,,126.96,41.0,Rural,29.0,28.0,,
North Mason School District (WA),0.0,2022-23,0.0,,,143.0,41.0,Rural,39.6,40.9,,
North Mason School District (WA),0.0,2023-24,,,,139.74,41.0,Rural,33.3,41.7,57.1,67.4
North Mason School District (WA),0.0,2024-25,,,,132.74,41.0,Rural,31.0,33.1,54.4,63.1
North River School District (WA),0.0,2015-16,0.0,,,9.0,43.0,Distant Rural,,,,
North River School District (WA),0.0,2016-17,0.0,,,10.39,43.0,Distant Rural,,,,
North River School District (WA),0.0,2017-18,0.0,,,9.86,43.0,Distant Rural,,,,
North River School District (WA),0.0,2018-19,0.0,,,10.01,43.0,Distant Rural,,,,
North River School District (WA),0.0,2019-20,0.0,,,9.7,43.0,Distant Rural,,,,
North River School District (WA),0.0,2020-21,0.0,,,9.59,43.0,Distant Rural,,,,
North River School District (WA),0.0,2021-22,0.0,,,9.3,43.0,Distant Rural,,,,
North River School District (WA),0.0,2022-23,0.0,,,8.0,43.0,Distant Rural,,,,
North River School District (WA),0.0,2023-24,,,,8.27,43.0,Distant Rural,,,,
North River School District (WA),0.0,2024-25,,,,6.75,43.0,Distant Rural,,,,
North Thurston Public Schools (WA),18.93,2015-16,0.9,787.0,43.0,814.77,22.0,Suburban,57.4,62.7,,
North Thurston Public Schools (WA),19.0,2016-17,0.86,787.0,44.0,838.68,22.0,Suburban,58.5,62.3,,
North Thurston Public Schools (WA),14.34,2017-18,0.65,1062.0,59.0,839.14,22.0,Suburban,60.0,66.6,,
North Thurston Public Schools (WA),13.87,2018-19,0.63,1100.0,62.0,864.48,22.0,Suburban,58.7,60.9,,
North Thurston Public Schools (WA),14.04,2019-20,0.64,1114.0,59.0,829.79,13.0,Urban,,,,
North Thurston Public Schools (WA),14.04,2020-21,0.64,1046.0,59.0,825.98,13.0,Urban,42.6,47.9,,
North Thurston Public Schools (WA),14.14,2021-22,0.59,1063.0,57.0,812.87,13.0,Urban,53.1,49.6,,
North Thurston Public Schools (WA),14.5,2022-23,0.6,1043.0,60.0,867.0,13.0,Urban,50.4,50.3,,
North Thurston Public Schools (WA),19.6,2023-24,0.82,775.0,43.0,846.03,13.0,Urban,47.8,46.0,68.4,69.0
North Thurston Public Schools (WA),12.22,2024-25,0.51,1241.0,71.0,862.82,13.0,Urban,48.1,48.6,70.3,72.8
Northport School District (WA),0.0,2015-16,-0.33,-227.0,-16.0,15.92,43.0,Distant Rural,60.0,57.1,,
Northport School District (WA),0.0,2016-17,0.0,,,16.47,43.0,Distant Rural,33.3,72.7,,
Northport School District (WA),0.0,2017-18,0.0,,,17.96,43.0,Distant Rural,54.5,62.5,,
Northport School District (WA),0.0,2018-19,0.0,,,18.83,43.0,Distant Rural,54.5,70.0,,
Northport School District (WA),0.0,2019-20,0.0,,,16.7,43.0,Distant Rural,,,,
Northport School District (WA),0.0,2020-21,0.0,,,20.07,43.0,Distant Rural,15.6,36.8,,
Northport School District (WA),0.0,2021-22,0.0,,,21.37,43.0,Distant Rural,57.1,,,
Northport School District (WA),0.0,2022-23,0.0,,,20.0,43.0,Distant Rural,63.6,60.0,,
Northport School District (WA),0.0,2023-24,,,,21.48,43.0,Distant Rural,60.0,64.7,86.7,76.5
Northport School District (WA),0.0,2024-25,,,,22.0,43.0,Distant Rural,25.0,,56.3,
Northshore School District (WA),33.99,2015-16,0.97,632.0,32.0,1082.17,21.0,Suburban,76.1,72.5,,
Northshore School District (WA),34.73,2016-17,0.96,631.0,32.0,1106.42,21.0,Suburban,73.5,73.8,,
Northshore School District (WA),12.8,2017-18,0.36,1768.0,93.0,1185.08,21.0,Suburban,73.4,79.4,,
Northshore School District (WA),12.8,2018-19,0.36,1836.0,95.0,1218.25,21.0,Suburban,75.4,73.6,,
Northshore School District (WA),12.8,2019-20,0.35,1868.0,100.0,1275.3,21.0,Suburban,,,,
Northshore School District (WA),12.8,2020-21,0.33,1821.0,101.0,1298.35,21.0,Suburban,65.9,67.1,,
Northshore School District (WA),13.0,2021-22,0.33,1767.0,94.0,1216.36,21.0,Suburban,72.2,68.8,,
Northshore School District (WA),13.0,2022-23,0.33,1765.0,102.0,1326.0,21.0,Suburban,72.8,65.9,,
Northshore School District (WA),12.6,2023-24,0.32,1840.0,103.0,1298.72,21.0,Suburban,69.0,67.3,83.9,82.9
Northshore School District (WA),12.6,2024-25,0.32,1804.0,97.0,1217.12,21.0,Suburban,73.3,67.2,85.8,83.7
Oak Harbor School District (WA),5.83,2015-16,0.53,1005.0,53.0,308.31,32.0,Mid-size,57.9,67.0,,
Oak Harbor School District (WA),5.99,2016-17,0.54,991.0,51.0,305.51,32.0,Mid-size,53.1,55.7,,
Oak Harbor School District (WA),5.96,2017-18,0.54,990.0,54.0,322.99,32.0,Mid-size,60.0,52.2,,
Oak Harbor School District (WA),5.73,2018-19,0.52,1050.0,58.0,334.41,32.0,Mid-size,61.4,55.0,,
Oak Harbor School District (WA),4.15,2019-20,0.38,1477.0,84.0,348.79,32.0,Mid-size,,,,
Oak Harbor School District (WA),3.0,2020-21,0.25,1922.0,109.0,327.24,32.0,Mid-size,53.7,53.2,,
Oak Harbor School District (WA),5.71,2021-22,0.48,999.0,62.0,354.52,32.0,Mid-size,56.9,46.6,,
Oak Harbor School District (WA),5.7,2022-23,0.48,1005.0,65.0,369.0,32.0,Mid-size,60.2,52.5,,
Oak Harbor School District (WA),5.7,2023-24,0.48,1020.0,61.0,344.86,32.0,Mid-size,58.9,50.4,75.2,73.9
Oak Harbor School District (WA),5.7,2024-25,0.48,989.0,59.0,337.19,32.0,Mid-size,54.2,50.0,71.6,74.8
Oakesdale School District (WA),0.0,2015-16,0.0,,,10.51,43.0,Distant Rural,,81.8,,
Oakesdale School District (WA),0.0,2016-17,0.0,,,10.57,43.0,Distant Rural,,80.0,,
Oakesdale School District (WA),0.0,2017-18,0.0,,,12.35,43.0,Distant Rural,,54.5,,
Oakesdale School District (WA),0.0,2018-19,0.0,,,11.26,43.0,Distant Rural,,63.6,,
Oakesdale School District (WA),0.0,2019-20,0.0,,,11.85,43.0,Distant Rural,,,,
Oakesdale School District (WA),0.0,2020-21,0.0,,,11.85,43.0,Distant Rural,54.5,60.0,,
Oakesdale School District (WA),0.0,2021-22,0.0,,,10.83,43.0,Distant Rural,40.0,,,
Oakesdale School District (WA),0.0,2022-23,0.0,,,11.0,43.0,Distant Rural,,45.5,,
Oakesdale School District (WA),0.0,2023-24,,,,11.5,43.0,Distant Rural,78.6,66.7,92.9,93.3
Oakesdale School District (WA),0.0,2024-25,,,,12.51,43.0,Distant Rural,30.0,54.6,,63.6
Oakville School District (WA),0.0,2015-16,0.0,,,19.0,42.0,Distant Rural,12.5,27.3,,
Oakville School District (WA),0.0,2016-17,0.0,,,18.58,42.0,Distant Rural,33.3,60.0,,
Oakville School District (WA),0.0,2017-18,0.0,,,14.5,42.0,Distant Rural,28.6,35.3,,
Oakville School District (WA),0.0,2018-19,0.0,,,16.34,42.0,Distant Rural,41.2,,,
Oakville School District (WA),0.0,2019-20,0.0,,,20.31,42.0,Distant Rural,,,,
Oakville School District (WA),0.0,2020-21,0.0,,,20.25,42.0,Distant Rural,,34.6,,
Oakville School District (WA),0.33,2021-22,0.08,1015.0,72.0,23.68,42.0,Distant Rural,17.2,34.6,,
Oakville School District (WA),0.33,2022-23,0.08,1033.0,82.0,27.0,42.0,Distant Rural,,42.1,,
Oakville School District (WA),0.67,2023-24,0.17,509.0,36.0,24.26,42.0,Distant Rural,23.8,27.8,28.6,50.0
Oakville School District (WA),0.78,2024-25,0.2,410.0,29.0,22.37,42.0,Distant Rural,42.1,36.0,63.2,56.0
Ocean Beach School District (WA),0.0,2015-16,0.0,,,52.19,42.0,Distant Rural,31.3,42.9,,
Ocean Beach School District (WA),0.0,2016-17,0.0,,,53.62,42.0,Distant Rural,39.5,48.0,,
Ocean Beach School District (WA),0.0,2017-18,0.0,,,57.6,42.0,Distant Rural,48.6,42.2,,
Ocean Beach School District (WA),0.0,2018-19,0.0,,,57.59,42.0,Distant Rural,50.6,59.5,,
Ocean Beach School District (WA),0.0,2019-20,0.0,,,53.22,42.0,Distant Rural,,,,
Ocean Beach School District (WA),0.0,2020-21,0.0,,,49.78,42.0,Distant Rural,25.4,27.2,,
Ocean Beach School District (WA),0.0,2021-22,0.0,,,58.55,42.0,Distant Rural,41.9,32.0,,
Ocean Beach School District (WA),0.0,2022-23,0.0,,,64.0,42.0,Distant Rural,37.5,39.5,,
Ocean Beach School District (WA),0.0,2023-24,,,,54.62,41.0,Rural,35.8,34.1,61.2,62.5
Ocean Beach School District (WA),0.0,2024-25,,,,51.7,41.0,Rural,40.0,31.5,60.0,53.4
Ocosta School District (WA),0.7,2015-16,0.35,864.0,56.0,39.49,42.0,Distant Rural,46.0,54.0,,
Ocosta School District (WA),0.4,2016-17,0.2,1558.0,99.0,39.41,42.0,Distant Rural,64.3,50.8,,
Ocosta School District (WA),0.4,2017-18,0.2,1465.0,100.0,39.97,42.0,Distant Rural,44.2,35.1,,
Ocosta School District (WA),0.85,2018-19,0.43,745.0,45.0,38.53,42.0,Distant Rural,50.0,39.6,,
Ocosta School District (WA),0.85,2019-20,0.43,748.0,49.0,41.69,42.0,Distant Rural,,,,
Ocosta School District (WA),0.85,2020-21,0.43,728.0,45.0,37.83,42.0,Distant Rural,21.6,27.7,,
Ocosta School District (WA),0.95,2021-22,0.32,638.0,39.0,36.97,42.0,Distant Rural,23.5,26.8,,
Ocosta School District (WA),0.87,2022-23,0.29,669.0,43.0,37.0,42.0,Distant Rural,32.7,45.2,,
Ocosta School District (WA),0.87,2023-24,0.29,678.0,47.0,40.96,42.0,Distant Rural,22.9,28.2,47.9,64.1
Ocosta School District (WA),1.2,2024-25,0.4,500.0,34.0,40.23,42.0,Distant Rural,35.6,54.2,51.1,64.6
Odessa School District (WA),0.0,2015-16,0.0,,,18.02,43.0,Distant Rural,50.0,44.0,,
Odessa School District (WA),0.0,2016-17,0.0,,,17.9,43.0,Distant Rural,82.4,52.6,,
Odessa School District (WA),0.0,2017-18,0.0,,,18.46,43.0,Distant Rural,66.7,45.5,,
Odessa School District (WA),0.0,2018-19,0.0,,,18.67,43.0,Distant Rural,38.9,75.0,,
Odessa School District (WA),0.0,2019-20,0.0,,,18.91,43.0,Distant Rural,,,,
Odessa School District (WA),0.0,2020-21,0.0,,,18.84,43.0,Distant Rural,36.4,55.0,,
Odessa School District (WA),0.0,2021-22,0.0,,,17.35,43.0,Distant Rural,47.6,57.9,,
Odessa School District (WA),0.0,2022-23,0.0,,,17.0,43.0,Distant Rural,53.8,26.7,,
Odessa School District (WA),0.0,2023-24,,,,16.89,43.0,Distant Rural,50.0,38.1,63.6,61.9
Odessa School District (WA),0.0,2024-25,,,,17.66,43.0,Distant Rural,50.0,38.5,91.7,92.3
Office Of The Governor (Sch For Blind) (WA),0.0,2015-16,0.0,,,0.0,12.0,Urban,,,,
Office Of The Governor (Sch For Blind) (WA),0.0,2016-17,0.0,,,0.0,12.0,Urban,,,,
Office Of The Governor (Sch For Blind) (WA),0.0,2017-18,0.0,,,0.0,12.0,Urban,,,,
Office Of The Governor (Sch For Blind) (WA),0.0,2018-19,0.0,,,0.0,12.0,Urban,,,,
Office Of The Governor (Sch For Blind) (WA),0.0,2019-20,0.0,,,0.0,12.0,Urban,,,,
Office Of The Governor (Sch For Blind) (WA),0.0,2020-21,0.0,,,0.0,12.0,Urban,,,,
Office Of The Governor (Sch For Blind) (WA),0.0,2021-22,0.0,,,0.0,12.0,Urban,,,,
Office Of The Governor (Sch For Blind) (WA),0.0,2022-23,0.0,,,0.0,12.0,Urban,,,,
Office Of The Governor (Sch For Blind) (WA),0.0,2023-24,,,,0.0,12.0,Urban,,,,
Office Of The Governor (Sch For Blind) (WA),0.0,2024-25,0.0,,,0.0,12.0,Urban,,,,
Okanogan School District (WA),1.0,2015-16,0.17,1113.0,56.0,56.13,33.0,Mid-size,56.5,56.7,,
Okanogan School District (WA),1.0,2016-17,0.17,1133.0,58.0,58.28,33.0,Mid-size,37.9,62.4,,
Okanogan School District (WA),1.0,2017-18,0.17,1135.0,59.0,59.36,33.0,Mid-size,53.2,47.9,,
Okanogan School District (WA),1.0,2018-19,0.17,1147.0,58.0,57.64,33.0,Mid-size,54.4,50.0,,
Okanogan School District (WA),1.0,2019-20,0.17,1158.0,59.0,59.31,33.0,Mid-size,,,,
Okanogan School District (WA),2.0,2020-21,0.33,554.0,29.0,58.26,33.0,Mid-size,45.3,32.6,,
Okanogan School District (WA),1.0,2021-22,0.17,1042.0,61.0,60.75,33.0,Mid-size,42.9,46.2,,
Okanogan School District (WA),1.0,2022-23,0.17,1065.0,63.0,63.0,33.0,Mid-size,49.4,35.2,,
Okanogan School District (WA),2.0,2023-24,0.33,543.0,32.0,63.69,33.0,Mid-size,59.7,38.5,77.4,73.6
Okanogan School District (WA),2.0,2024-25,0.33,521.0,31.0,61.59,33.0,Mid-size,60.6,40.9,83.1,71.8
Olympia School District (WA),15.8,2015-16,0.75,632.0,32.0,503.33,13.0,Urban,66.8,79.3,,
Olympia School District (WA),15.8,2016-17,0.75,645.0,33.0,515.99,13.0,Urban,65.6,77.5,,
Olympia School District (WA),15.8,2017-18,0.75,617.0,34.0,536.58,13.0,Urban,67.6,78.7,,
Olympia School District (WA),12.55,2018-19,0.6,790.0,43.0,540.94,13.0,Urban,68.9,75.4,,
Olympia School District (WA),12.91,2019-20,0.61,779.0,43.0,554.89,13.0,Urban,,,,
Olympia School District (WA),12.71,2020-21,0.61,747.0,43.0,542.18,13.0,Urban,52.0,63.8,,
Olympia School District (WA),11.86,2021-22,0.59,802.0,45.0,532.92,13.0,Urban,54.4,63.3,,
Olympia School District (WA),12.51,2022-23,0.63,770.0,45.0,567.0,13.0,Urban,50.5,61.0,,
Olympia School District (WA),12.62,2023-24,0.63,757.0,42.0,531.14,13.0,Urban,49.0,59.7,70.4,80.3
Olympia School District (WA),12.71,2024-25,0.64,738.0,42.0,527.51,13.0,Urban,58.0,60.7,76.9,77.6
Omak School District (WA),0.0,2015-16,0.0,,,231.1,33.0,Mid-size,37.2,47.7,,
Omak School District (WA),0.0,2016-17,0.0,,,221.37,33.0,Mid-size,26.0,33.8,,
Omak School District (WA),0.0,2017-18,0.0,,,223.75,33.0,Mid-size,35.3,45.3,,
Omak School District (WA),0.0,2018-19,0.0,,,241.23,33.0,Mid-size,24.6,39.1,,
Omak School District (WA),0.0,2019-20,0.0,,,249.62,33.0,Mid-size,,,,
Omak School District (WA),0.0,2020-21,0.0,,,291.26,33.0,Mid-size,29.2,36.3,,
Omak School District (WA),0.0,2021-22,0.0,,,287.28,33.0,Mid-size,32.3,38.1,,
Omak School District (WA),0.0,2022-23,0.0,,,296.0,33.0,Mid-size,40.7,17.8,,
Omak School District (WA),0.0,2023-24,,,,254.07,33.0,Mid-size,43.3,12.6,72.2,44.1
Omak School District (WA),0.0,2024-25,,,,265.93,33.0,Mid-size,48.6,19.2,71.0,39.4
Onalaska School District (WA),0.0,2015-16,0.0,,,44.09,42.0,Distant Rural,66.1,61.7,,
Onalaska School District (WA),0.0,2016-17,0.0,,,47.0,42.0,Distant Rural,47.1,69.4,,
Onalaska School District (WA),0.0,2017-18,0.0,,,50.06,42.0,Distant Rural,49.2,61.9,,
Onalaska School District (WA),0.0,2018-19,0.0,,,49.13,42.0,Distant Rural,70.2,40.4,,
Onalaska School District (WA),0.0,2019-20,0.0,,,49.93,42.0,Distant Rural,,,,
Onalaska School District (WA),0.0,2020-21,0.0,,,48.28,42.0,Distant Rural,45.1,45.0,,
Onalaska School District (WA),0.0,2021-22,0.0,,,49.08,42.0,Distant Rural,51.9,58.6,,
Onalaska School District (WA),0.0,2022-23,0.0,,,52.0,42.0,Distant Rural,35.6,56.4,,
Onalaska School District (WA),0.0,2023-24,,,,53.01,42.0,Distant Rural,28.6,44.9,68.3,71.8
Onalaska School District (WA),0.0,2024-25,,,,51.03,42.0,Distant Rural,44.4,65.2,64.8,85.5
Onion Creek School District (WA),0.0,2015-16,0.0,,,3.44,43.0,Distant Rural,,,,
Onion Creek School District (WA),0.0,2016-17,0.0,,,3.45,43.0,Distant Rural,,,,
Onion Creek School District (WA),0.0,2017-18,0.0,,,3.06,43.0,Distant Rural,,,,
Onion Creek School District (WA),0.0,2018-19,0.0,,,3.83,43.0,Distant Rural,,,,
Onion Creek School District (WA),0.0,2019-20,0.0,,,4.16,43.0,Distant Rural,,,,
Onion Creek School District (WA),0.0,2020-21,0.0,,,4.01,43.0,Distant Rural,,,,
Onion Creek School District (WA),0.0,2021-22,0.0,,,4.0,43.0,Distant Rural,,,,
Onion Creek School District (WA),0.0,2022-23,0.0,,,4.0,43.0,Distant Rural,,,,
Onion Creek School District (WA),0.0,2023-24,,,,3.99,43.0,Distant Rural,,,,
Onion Creek School District (WA),0.0,2024-25,,,,4.46,43.0,Distant Rural,,,,
Orcas Island School District (WA),0.0,2015-16,0.0,,,44.91,42.0,Distant Rural,74.1,75.0,,
Orcas Island School District (WA),0.0,2016-17,0.0,,,45.18,42.0,Distant Rural,36.7,80.8,,
Orcas Island School District (WA),0.0,2017-18,0.0,,,40.67,42.0,Distant Rural,73.3,64.5,,
Orcas Island School District (WA),0.0,2018-19,0.0,,,44.86,42.0,Distant Rural,52.0,58.3,,
Orcas Island School District (WA),0.0,2019-20,0.0,,,45.5,42.0,Distant Rural,,,,
Orcas Island School District (WA),0.0,2020-21,0.0,,,44.34,42.0,Distant Rural,34.5,44.6,,
Orcas Island School District (WA),0.0,2021-22,0.0,,,41.37,42.0,Distant Rural,44.4,45.9,,
Orcas Island School District (WA),0.0,2022-23,0.0,,,40.0,42.0,Distant Rural,27.8,64.4,,
Orcas Island School District (WA),0.0,2023-24,,,,36.94,42.0,Distant Rural,40.0,47.2,56.0,83.3
Orcas Island School District (WA),0.0,2024-25,,,,44.53,42.0,Distant Rural,58.6,63.4,75.9,78.1
Orchard Prairie School District (WA),0.0,2015-16,0.0,,,6.62,41.0,Rural,,,,
Orchard Prairie School District (WA),0.0,2016-17,0.0,,,6.65,41.0,Rural,,,,
Orchard Prairie School District (WA),0.0,2017-18,0.0,,,6.67,41.0,Rural,20.0,,,
Orchard Prairie School District (WA),0.0,2018-19,0.0,,,7.02,41.0,Rural,40.0,,,
Orchard Prairie School District (WA),0.0,2019-20,0.0,,,7.01,41.0,Rural,,,,
Orchard Prairie School District (WA),0.0,2020-21,0.0,,,7.03,41.0,Rural,,,,
Orchard Prairie School District (WA),0.0,2021-22,0.0,,,6.99,41.0,Rural,,,,
Orchard Prairie School District (WA),0.0,2022-23,0.0,,,7.0,41.0,Rural,40.0,,,
Orchard Prairie School District (WA),0.0,2023-24,,,,7.0,41.0,Rural,,,,
Orchard Prairie School District (WA),0.0,2024-25,,,,6.32,41.0,Rural,60.0,,80.0,
Orient School District (WA),0.0,2015-16,0.0,,,4.5,43.0,Distant Rural,,,,
Orient School District (WA),0.0,2016-17,0.0,,,4.52,43.0,Distant Rural,,,,
Orient School District (WA),0.0,2017-18,0.0,,,4.5,43.0,Distant Rural,,,,
Orient School District (WA),0.0,2018-19,0.0,,,3.49,43.0,Distant Rural,,,,
Orient School District (WA),0.0,2019-20,0.0,,,3.61,43.0,Distant Rural,,,,
Orient School District (WA),0.0,2020-21,0.0,,,0.0,43.0,Distant Rural,,,,
Orient School District (WA),0.0,2021-22,0.0,,,4.0,43.0,Distant Rural,,,,
Orient School District (WA),0.0,2022-23,0.0,,,4.0,43.0,Distant Rural,,,,
Orient School District (WA),0.0,2023-24,,,,4.51,43.0,Distant Rural,,,,
Orient School District (WA),0.0,2024-25,,,,3.49,43.0,Distant Rural,,,,
Orondo School District (WA),0.0,2015-16,0.0,,,10.67,42.0,Distant Rural,42.1,,,
Orondo School District (WA),0.0,2016-17,0.0,,,11.96,42.0,Distant Rural,33.3,77.8,,
Orondo School District (WA),0.0,2017-18,0.0,,,11.38,42.0,Distant Rural,70.0,50.0,,
Orondo School District (WA),0.0,2018-19,0.0,,,11.29,42.0,Distant Rural,66.7,61.1,,
Orondo School District (WA),0.0,2019-20,0.0,,,11.12,42.0,Distant Rural,,,,
Orondo School District (WA),0.0,2020-21,0.0,,,10.48,42.0,Distant Rural,41.7,50.0,,
Orondo School District (WA),0.0,2021-22,0.0,,,10.45,42.0,Distant Rural,,52.9,,
Orondo School District (WA),0.0,2022-23,0.0,,,12.0,42.0,Distant Rural,43.8,,,
Orondo School District (WA),0.0,2023-24,,,,10.48,42.0,Distant Rural,36.4,27.3,63.6,63.6
Orondo School District (WA),0.0,2024-25,,,,9.17,42.0,Distant Rural,,,,
Oroville School District (WA),0.0,2015-16,0.0,,,38.88,43.0,Distant Rural,32.4,36.1,,
Oroville School District (WA),0.0,2016-17,0.0,,,38.32,43.0,Distant Rural,32.7,70.8,,
Oroville School District (WA),0.0,2017-18,0.0,,,38.17,43.0,Distant Rural,39.5,53.7,,
Oroville School District (WA),0.0,2018-19,0.0,,,41.92,43.0,Distant Rural,39.1,31.8,,
Oroville School District (WA),0.0,2019-20,0.0,,,38.56,43.0,Distant Rural,,,,
Oroville School District (WA),0.0,2020-21,0.0,,,38.1,43.0,Distant Rural,37.1,29.7,,
Oroville School District (WA),0.0,2021-22,0.0,,,36.83,43.0,Distant Rural,51.4,31.4,,
Oroville School District (WA),0.0,2022-23,0.0,,,38.0,43.0,Distant Rural,36.8,43.2,,
Oroville School District (WA),0.0,2023-24,,,,39.55,43.0,Distant Rural,45.5,39.5,69.7,69.8
Oroville School District (WA),0.0,2024-25,,,,40.14,43.0,Distant Rural,45.7,52.5,62.9,77.5
Orting School District (WA),3.5,2015-16,0.7,714.0,34.0,118.99,21.0,Suburban,62.8,63.3,,
